0,NameError,name 'means_column' is not defined,0,,2024-03-10 15:46:43.859393
1,NameError,name 'means_column' is not defined,0,,2024-03-10 15:46:50.334953
2,NameError,name 'means_column' is not defined,0,,2024-03-10 15:46:54.413101
3,NameError,name 'label_col' is not defined,0,,2024-03-10 16:04:42.765304
4,NameError,name 'shuff_label' is not defined,0,,2024-03-18 13:41:04.064153
5,ValueError,Column length mismatch. New column does not have the same number of rows as table.,0,,2024-03-18 13:41:23.913902
6,ValueError,Column length mismatch. New column does not have the same number of rows as table.,0,,2024-03-18 13:46:26.746720
7,ValueError,Column length mismatch. New column does not have the same number of rows as table.,0,,2024-03-18 13:51:45.506583
8,NameError,name 'new_tbl' is not defined,0,,2024-03-18 13:52:28.845784
9,ValueError,"label ""won"" not in labels ('star baker awards', 'shuff_label')",0,,2024-03-18 13:53:09.823484
